copy0,copy1,processsymbols,createtree,createtree_partition,assigncodeword,assigncodeword_partition,obj1,obj2
0496,1,16,1,1,2,1,2,32.020,2313
0497,1,16,1,1,2,1,4,32.264,2268
0498,1,16,1,1,2,2,1,32.499,2580
0499,1,16,1,1,2,2,2,31.189,2624
0500,1,16,1,1,2,2,4,32.641,2610
0501,1,16,1,1,2,4,1,30.565,3034
0502,1,16,1,1,2,4,2,32.480,2899
0503,1,16,1,1,2,4,4,32.337,2946
0504,1,16,1,1,4,1,1,33.467,2553
0505,1,16,1,1,4,1,2,33.790,2384
0506,1,16,1,1,4,1,4,32.675,2433
0507,1,16,1,1,4,2,1,33.189,2609
0508,1,16,1,1,4,2,2,32.979,2628
0509,1,16,1,1,4,2,4,33.068,2718
0510,1,16,1,1,4,4,1,33.608,2971
0511,1,16,1,1,4,4,2,34.227,2992
0512,1,16,1,1,4,4,4,34.048,2959
0513,1,16,1,2,1,1,1,29.645,2517
0514,1,16,1,2,1,1,2,29.968,2411
0515,1,16,1,2,1,1,4,30.500,2467
0516,1,16,1,2,1,2,1,30.110,2831
0520,1,16,1,2,1,4,2,29.090,3113
0522,1,16,1,2,2,1,1,29.366,2630
0523,1,16,1,2,2,1,2,29.424,2554
0526,1,16,1,2,2,2,2,28.625,2871
0531,1,16,1,2,4,1,1,27.950,2953
0532,1,16,1,2,4,1,2,28.615,2910
0533,1,16,1,2,4,1,4,29.061,2930
0540,1,16,1,4,1,1,1,28.646,2854
0549,1,16,1,4,2,1,1,26.416,3032
0559,1,16,1,4,4,1,2,26.083,3296
0567,1,16,2,1,1,1,1,32.635,2357
0568,1,16,2,1,1,1,2,31.736,2236
0569,1,16,2,1,1,1,4,33.001,2187
0570,1,16,2,1,1,2,1,33.602,2592
0571,1,16,2,1,1,2,2,32.970,2590
0572,1,16,2,1,1,2,4,33.710,2649
0573,1,16,2,1,1,4,1,32.560,2969
0574,1,16,2,1,1,4,2,33.247,2894
0575,1,16,2,1,1,4,4,33.055,2900
0576,1,16,2,1,2,1,1,30.948,2464
0577,1,16,2,1,2,1,2,32.325,2293
0578,1,16,2,1,2,1,4,31.982,2273
0579,1,16,2,1,2,2,1,32.447,2656
0580,1,16,2,1,2,2,2,31.734,2681
0581,1,16,2,1,2,2,4,31.195,2645
0582,1,16,2,1,2,4,1,32.276,2949
0583,1,16,2,1,2,4,2,32.267,3022
0584,1,16,2,1,2,4,4,30.839,2975
0585,1,16,2,1,4,1,1,33.008,2562
0586,1,16,2,1,4,1,2,32.979,2394
0587,1,16,2,1,4,1,4,33.357,2462
0588,1,16,2,1,4,2,1,33.556,2767
0589,1,16,2,1,4,2,2,34.166,2767
0590,1,16,2,1,4,2,4,34.357,2715
0591,1,16,2,1,4,4,1,34.068,3072
0592,1,16,2,1,4,4,2,33.896,3035
0593,1,16,2,1,4,4,4,34.447,3050
0595,1,16,2,2,1,1,2,30.102,2584
0597,1,16,2,2,1,2,1,29.714,2829
0598,1,16,2,2,1,2,2,30.352,2789
0600,1,16,2,2,1,4,1,29.984,3135
0603,1,16,2,2,2,1,1,28.419,2612
0605,1,16,2,2,2,1,4,27.602,2632
0607,1,16,2,2,2,2,2,29.688,2958
0614,1,16,2,2,4,1,4,28.393,2997
0648,1,16,4,1,1,1,1,33.122,2449
0649,1,16,4,1,1,1,2,33.536,2343
0650,1,16,4,1,1,1,4,33.707,2354
0651,1,16,4,1,1,2,1,32.185,2644
0652,1,16,4,1,1,2,2,32.995,2731
0653,1,16,4,1,1,2,4,32.960,2669
0654,1,16,4,1,1,4,1,31.669,3050
0655,1,16,4,1,1,4,2,32.468,2931
0656,1,16,4,1,1,4,4,32.499,2933
0657,1,16,4,1,2,1,1,30.497,2482
0658,1,16,4,1,2,1,2,32.122,2387
0659,1,16,4,1,2,1,4,31.527,2383
0660,1,16,4,1,2,2,1,32.604,2699
0661,1,16,4,1,2,2,2,31.492,2705
0662,1,16,4,1,2,2,4,30.950,2704
0663,1,16,4,1,2,4,1,31.875,3035
0664,1,16,4,1,2,4,2,32.976,2950
0665,1,16,4,1,2,4,4,32.002,2929
0666,1,16,4,1,4,1,1,32.992,2559
0667,1,16,4,1,4,1,2,32.110,2484
0668,1,16,4,1,4,1,4,32.725,2521
0669,1,16,4,1,4,2,1,32.866,2784
0670,1,16,4,1,4,2,2,33.556,2781
0671,1,16,4,1,4,2,4,32.607,2844
