design,copy0,copy1,computehistogram,computehistogram_partition,resort,processsymbols,movenodes,assigncodeword,obj1,obj2
0403,2,1,4,2,1,1,2,2,44.664,1171
0404,2,1,4,2,1,2,1,1,43.339,1084
0405,2,1,4,2,1,2,1,2,43.717,1110
0406,2,1,4,2,1,2,2,1,43.883,1155
0407,2,1,4,2,1,2,2,2,43.263,1162
0408,2,1,4,2,2,1,1,1,42.927,1204
0409,2,1,4,2,2,1,1,2,42.270,1233
0410,2,1,4,2,2,1,2,1,43.376,1220
0411,2,1,4,2,2,1,2,2,43.982,1259
0412,2,1,4,2,2,2,1,1,42.523,1244
0413,2,1,4,2,2,2,1,2,43.392,1273
0414,2,1,4,2,2,2,2,1,42.802,1268
0415,2,1,4,2,2,2,2,2,44.085,1248
0416,2,1,4,4,1,1,1,1,43.090,1057
0417,2,1,4,4,1,1,1,2,42.931,1090
0418,2,1,4,4,1,1,2,1,43.979,1109
0419,2,1,4,4,1,1,2,2,43.808,1144
0420,2,1,4,4,1,2,1,1,44.247,1076
0421,2,1,4,4,1,2,1,2,43.192,1136
0422,2,1,4,4,1,2,2,1,43.970,1109
0423,2,1,4,4,1,2,2,2,43.385,1143
0424,2,1,4,4,2,1,1,1,43.249,1251
0425,2,1,4,4,2,1,1,2,42.407,1293
0426,2,1,4,4,2,1,2,1,43.933,1272
0427,2,1,4,4,2,1,2,2,43.688,1312
0428,2,1,4,4,2,2,1,1,43.804,1246
0429,2,1,4,4,2,2,1,2,42.275,1325
0430,2,1,4,4,2,2,2,1,42.902,1256
0431,2,1,4,4,2,2,2,2,44.081,1330
0432,2,2,1,1,1,1,1,1,36.809,958
0433,2,2,1,1,1,1,1,2,35.510,1016
0434,2,2,1,1,1,1,2,1,37.603,1004
0435,2,2,1,1,1,1,2,2,38.413,1094
0436,2,2,1,1,1,2,1,1,38.436,1014
0437,2,2,1,1,1,2,1,2,37.728,1029
0438,2,2,1,1,1,2,2,1,38.068,1072
0439,2,2,1,1,1,2,2,2,37.392,1114
0440,2,2,1,1,2,1,1,1,35.715,1131
0441,2,2,1,1,2,1,1,2,35.771,1168
0442,2,2,1,1,2,1,2,1,35.669,1209
0443,2,2,1,1,2,1,2,2,36.651,1169
0444,2,2,1,1,2,2,1,1,37.302,1166
0445,2,2,1,1,2,2,1,2,36.052,1200
0446,2,2,1,1,2,2,2,1,36.849,1201
0447,2,2,1,1,2,2,2,2,37.881,1248
0448,2,2,1,2,1,1,1,1,36.837,952
0449,2,2,1,2,1,1,1,2,36.411,1063
0450,2,2,1,2,1,1,2,1,37.848,1037
0451,2,2,1,2,1,1,2,2,38.047,1065
